City_Name,Total_Approved,Total_Denied,Total_Application
"RICHARDSON, TX",16800,509,17309
"ROCKVILLE, MD",11177,695,11872
"COLLEGE STATION, TX",9017,234,9251
"MOUNTAIN VIEW, CA",8538,84,8622
"EDISON, NJ",8189,329,8518
"CHICAGO, IL",8178,183,8361
"PHILADELPHIA, PA",7792,547,8339
"NEW YORK, NY",7578,198,7776
"SAN FRANCISCO, CA",7478,102,7580
"SUNNYVALE, CA",4555,191,4746
