State,Total_Approved,Total_Denied,Total_Application
Texas (TX),16031,849,16880
California (CA),15298,497,15795
New Jersey (NJ),14130,490,14620
Illinois (IL),5276,144,5420
Maryland (MD),4982,246,5228
New York (NY),3632,105,3737
Pennsylvania (PA),3500,115,3615
Virginia (VA),3346,217,3563
Michigan (MI),3296,117,3413
Georgia (GA),2576,209,2785
