Employer_Name,Total_Approved,Total_Denied,Total_Application
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,3973,150,4123
TATA CONSULTANCY SVCS LTD,3774,189,3963
INFOSYS LIMITED,3414,83,3497
GOOGLE LLC,2457,34,2491
DELOITTE CONSULTING LLP,1487,36,1523
HCL AMERICA INC,1412,42,1454
CAPGEMINI AMERICA INC,1425,24,1449
ERNST YOUNG US LLP,1220,34,1254
IBM CORPORATION,1085,23,1108
ACCENTURE LLP,998,17,1015
