Employer_Name,Total_Approved,Total_Denied,Total_Application
TATA CONSULTANCY SVCS LTD,9982,341,10323
GOOGLE LLC,8437,89,8526
INFOSYS LIMITED,7108,72,7180
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,6122,61,6183
DELOITTE CONSULTING LLP,4284,31,4315
CAPGEMINI AMERICA INC,3124,39,3163
IBM CORPORATION,3071,40,3111
HCL AMERICA INC,2973,90,3063
ERNST YOUNG US LLP,3006,24,3030
WIPRO LIMITED,2269,62,2331
