State,Total_Approved,Total_Denied,Total_Application
New Jersey (NJ),48129,1777,49906
Texas (TX),41912,1456,43368
California (CA),41720,1135,42855
Maryland (MD),13488,775,14263
Massachusetts (MA),13512,534,14046
Pennsylvania (PA),12148,711,12859
Illinois (IL),12476,348,12824
New York (NY),10075,299,10374
Virginia (VA),7947,308,8255
Michigan (MI),7834,238,8072
